Mod Name,Texture File Name,Average Hex Code
akidecor-0.1.3.3-1.12.2.jar,green_terracotta_roof_block_4.png,#32583c
akidecor-0.1.3.3-1.12.2.jar,green_terracotta_roof_block_5.png,#32583c
akidecor-0.1.3.3-1.12.2.jar,highland_clay_large_bricks.png,#68554b
akidecor-0.1.3.3-1.12.2.jar,highland_tuff.png,#4e3c32
akidecor-0.1.3.3-1.12.2.jar,highland_tuff_bricks.png,#49382f
akidecor-0.1.3.3-1.12.2.jar,lakestone.png,#45423b
akidecor-0.1.3.3-1.12.2.jar,lakestone2.png,#46433d
akidecor-0.1.3.3-1.12.2.jar,lakestone3.png,#46443d
akidecor-0.1.3.3-1.12.2.jar,lightstone.png,#ffd770
akidecor-0.1.3.3-1.12.2.jar,light_grass.png,#90a247
akidecor-0.1.3.3-1.12.2.jar,mangrove_log_side.png,#534229
akidecor-0.1.3.3-1.12.2.jar,mangrove_log_stripped.png,#6d2b2b
akidecor-0.1.3.3-1.12.2.jar,mangrove_log_stripped_side.png,#77362f
akidecor-0.1.3.3-1.12.2.jar,mangrove_log_stripped_top.png,#6d2b2b
akidecor-0.1.3.3-1.12.2.jar,mangrove_log_top.png,#66302a
akidecor-0.1.3.3-1.12.2.jar,mangrove_planks.png,#753630
akidecor-0.1.3.3-1.12.2.jar,mangrove_roots_side.png,#4b3b26
akidecor-0.1.3.3-1.12.2.jar,mangrove_roots_top.png,#4a3b26
akidecor-0.1.3.3-1.12.2.jar,midhurst_brick.png,#938f8f
akidecor-0.1.3.3-1.12.2.jar,midhurst_large_bricks.png,#9f9f9e
akidecor-0.1.3.3-1.12.2.jar,mossygratestone.png,#555750
akidecor-0.1.3.3-1.12.2.jar,mud.png,#3c393c
akidecor-0.1.3.3-1.12.2.jar,mud_bricks.png,#89674f
akidecor-0.1.3.3-1.12.2.jar,mud_packed.png,#8e6a4f
akidecor-0.1.3.3-1.12.2.jar,new_brown_brick_brick_1.png,#775a4d
akidecor-0.1.3.3-1.12.2.jar,new_brown_brick_brick_2.png,#86624c
akidecor-0.1.3.3-1.12.2.jar,new_brown_brick_brick_3.png,#866a4b
akidecor-0.1.3.3-1.12.2.jar,ochre_grass.png,#a48d3f
akidecor-0.1.3.3-1.12.2.jar,oxidized_chiseled_copper.png,#53a184
akidecor-0.1.3.3-1.12.2.jar,pale_oak_log.png,#574d4b
