akidecor-0.1.3.3-1.12.2.jar,diorite_ballast1.png,#e5e5e5,Diorite Ballast1
akidecor-0.1.3.3-1.12.2.jar,diorite_ballast2.png,#e5e5e5,Diorite Ballast2
akidecor-0.1.3.3-1.12.2.jar,dirt.png,#866043,Dirt
akidecor-0.1.3.3-1.12.2.jar,drystonewalls.png,#9ea2a9,Drystonewalls
akidecor-0.1.3.3-1.12.2.jar,exposed_chiseled_copper.png,#9a7764,Exposed Chiseled Copper
akidecor-0.1.3.3-1.12.2.jar,fdeballast1.png,#615b58,Fdeballast1
akidecor-0.1.3.3-1.12.2.jar,fdeballast2.png,#625d59,Fdeballast2
akidecor-0.1.3.3-1.12.2.jar,flat_stone_brick_big.png,#717171,Flat Stone Brick Big
akidecor-0.1.3.3-1.12.2.jar,flint_wall.png,#878786,Flint
akidecor-0.1.3.3-1.12.2.jar,granite_ballast1.png,#9a6858,Granite Ballast1
akidecor-0.1.3.3-1.12.2.jar,granite_ballast2.png,#9c6959,Granite Ballast2
akidecor-0.1.3.3-1.12.2.jar,grass_side.png,#7e6b41,Grass
akidecor-0.1.3.3-1.12.2.jar,grass_side_overlay.png,#9a9a9a,Grass Side
akidecor-0.1.3.3-1.12.2.jar,grass_side_snowed.png,#a99685,Grass Side
akidecor-0.1.3.3-1.12.2.jar,grass_top.png,#939393,Grass
akidecor-0.1.3.3-1.12.2.jar,graterstone.png,#3a3638,Graterstone
akidecor-0.1.3.3-1.12.2.jar,gratestone.png,#54565a,Gratestone
akidecor-0.1.3.3-1.12.2.jar,gratestone_brick.png,#565559,Gratestone Brick
akidecor-0.1.3.3-1.12.2.jar,gravel.png,#837f7e,Gravel
akidecor-0.1.3.3-1.12.2.jar,gravel2.png,#7e7c7a,Gravel2
akidecor-0.1.3.3-1.12.2.jar,green_terracotta_roof_block_1.png,#335a3c,Green Terracotta Roof Block
akidecor-0.1.3.3-1.12.2.jar,green_terracotta_roof_block_2.png,#30563c,Green Terracotta Roof Block
akidecor-0.1.3.3-1.12.2.jar,green_terracotta_roof_block_3.png,#30563c,Green Terracotta Roof Block
akidecor-0.1.3.3-1.12.2.jar,green_terracotta_roof_block_4.png,#32583c,Green Terracotta Roof Block
